cond,Lprime,ns_mean,ns_std,sq_mean,sq_std
DW $D$ asc,2,0.0175,0.13112,0.035,0.18378
DW $D$ asc,3,0.0225,0.1483,0.03,0.17059
DW $D$ asc,4,0.035,0.18378,0.025,0.15612
DW $D$ asc,5,0.035,0.18378,0.0425,0.20173
DW $D$ asc,6,0.0325,0.17732,0.045,0.2073
DW $D$ asc,7,0.06,0.23749,0.045,0.2073
DW $D$ asc,8,0.0525,0.22303,0.045,0.2073
DW $D$ asc,9,0.0475,0.21271,0.0375,0.18998
DW $D$ asc,10,0.0575,0.2328,0.0375,0.18998
DW $D$ asc,11,0.06,0.23749,0.05,0.21794
DW $D$ asc,12,0.0575,0.2328,0.055,0.22798
DW $D$ asc,13,0.065,0.24653,0.0525,0.22303
DW $D$ asc,14,0.07,0.25515,0.055,0.22798
DW $D$ asc,15,0.075,0.26339,0.05,0.21794
DW $D$ asc,16,0.085,0.27888,0.055,0.22798
DW $D$ asc,17,0.09,0.28618,0.0525,0.22303
DW $D$ asc,18,0.095,0.29321,0.0575,0.2328
DW $D$ asc,19,0.0975,0.29664,0.0775,0.26738
DW $D$ asc,20,0.1075,0.30975,0.0775,0.26738
DW $D$ asc,21,0.11,0.31289,0.0725,0.25931
DW $D$ asc,22,0.1075,0.30975,0.0775,0.26738
DW $D$ asc,23,0.1025,0.3033,0.075,0.26339
DW $D$ asc,24,0.105,0.30655,0.0875,0.28257
DW $D$ asc,25,0.1025,0.3033,0.0975,0.29664
DW $D$ asc,26,0.105,0.30655,0.08,0.27129
DW $D$ asc,27,0.1075,0.30975,0.0775,0.26738
DW $D$ asc,28,0.11,0.31289,0.085,0.27888
DW $D$ asc,29,0.1175,0.32202,0.085,0.27888
DW $D$ asc,30,0.115,0.31902,0.09,0.28618
DW $D$ asc,31,0.1175,0.32202,0.0925,0.28973
DW $D$ asc,32,0.12,0.32496,0.09,0.28618
DW $D$ asc,33,0.1175,0.32202,0.1,0.3
DW $D$ asc,34,0.12,0.32496,0.0925,0.28973
DW $D$ asc,35,0.1275,0.33353,0.1025,0.3033
DW $D$ asc,36,0.13,0.3363,0.0975,0.29664
DW $D$ asc,37,0.1325,0.33903,0.1025,0.3033
DW $D$ asc,38,0.1275,0.33353,0.0975,0.29664
DW $D$ asc,39,0.1225,0.32786,0.0975,0.29664
DW $D$ asc,40,0.1275,0.33353,0.0975,0.29664
DW $D$ asc,41,0.13,0.3363,0.105,0.30655
DW $D$ asc,42,0.135,0.34172,0.1025,0.3033
DW $D$ asc,43,0.13,0.3363,0.105,0.30655
DW $D$ asc,44,0.1425,0.34956,0.105,0.30655
DW $D$ asc,45,0.1475,0.3546,0.11,0.31289
