cond,Lprime,mean,std
DW $D$ asc,2,0.01805,0.08436
DW $D$ asc,3,0.0284,0.09582
DW $D$ asc,4,0.0386,0.10377
DW $D$ asc,5,0.0503,0.1098
DW $D$ asc,6,0.0549,0.1112
DW $D$ asc,7,0.05955,0.11561
DW $D$ asc,8,0.06404,0.11671
DW $D$ asc,9,0.06849,0.12101
DW $D$ asc,10,0.07142,0.12522
DW $D$ asc,11,0.07475,0.1286
DW $D$ asc,12,0.07851,0.13029
DW $D$ asc,13,0.08213,0.1321
DW $D$ asc,14,0.08345,0.13587
DW $D$ asc,15,0.08562,0.13938
DW $D$ asc,16,0.08943,0.14097
DW $D$ asc,17,0.09201,0.14269
DW $D$ asc,18,0.09484,0.1446
DW $D$ asc,19,0.09784,0.14723
DW $D$ asc,20,0.09894,0.1489
DW $D$ asc,21,0.10227,0.152
DW $D$ asc,22,0.10471,0.15483
DW $D$ asc,23,0.10877,0.15639
DW $D$ asc,24,0.11198,0.1581
DW $D$ asc,25,0.11423,0.15885
DW $D$ asc,26,0.11718,0.16045
DW $D$ asc,27,0.11734,0.16274
DW $D$ asc,28,0.11952,0.16451
DW $D$ asc,29,0.12086,0.16682
DW $D$ asc,30,0.1207,0.16697
DW $D$ asc,31,0.12422,0.16828
DW $D$ asc,32,0.12392,0.17047
DW $D$ asc,33,0.1249,0.17036
DW $D$ asc,34,0.12666,0.17146
DW $D$ asc,35,0.12793,0.17246
DW $D$ asc,36,0.12965,0.17266
DW $D$ asc,37,0.13068,0.17416
DW $D$ asc,38,0.13157,0.1745
DW $D$ asc,39,0.13352,0.17641
DW $D$ asc,40,0.135,0.17759
DW $D$ asc,41,0.13573,0.18007
DW $D$ asc,42,0.13655,0.18172
DW $D$ asc,43,0.13879,0.18266
DW $D$ asc,44,0.13932,0.18464
DW $D$ asc,45,0.14165,0.18438
DW $D$ asc,46,0.14436,0.18557
DW $D$ asc,47,0.1444,0.18611
DW $D$ asc,48,0.14644,0.18646
DW $D$ asc,49,0.14853,0.18721
DW $D$ asc,50,0.14967,0.18851
DW $D$ asc,51,0.15096,0.18957
DW $D$ asc,52,0.15164,0.19111
DW $D$ asc,53,0.15206,0.19045
DW $D$ asc,54,0.15314,0.19131
DW $D$ asc,55,0.15513,0.19174
DW $D$ asc,56,0.15653,0.19248
DW $D$ asc,57,0.1568,0.19323
DW $D$ asc,58,0.15732,0.19383
DW $D$ asc,59,0.15954,0.19426
DW $D$ asc,60,0.16103,0.19434
DW $D$ asc,61,0.16197,0.19468
DW $D$ asc,62,0.16284,0.19475
DW $D$ asc,63,0.16438,0.19526
DW $D$ asc,64,0.16501,0.19597
DW $D$ asc,65,0.16563,0.19659
DW $D$ asc,66,0.16578,0.19742
DW $D$ asc,67,0.16782,0.19802
DW $D$ asc,68,0.16851,0.19857
DW $D$ asc,69,0.16958,0.19923
DW $D$ asc,70,0.16921,0.20011
DW $D$ asc,71,0.17051,0.20053
DW $D$ asc,72,0.17242,0.2006
DW $D$ asc,73,0.17345,0.20136
DW $D$ asc,74,0.17475,0.20236
DW $D$ asc,75,0.17601,0.20292
DW $D$ asc,76,0.17685,0.20367
DW $D$ asc,77,0.17745,0.20418
DW $D$ asc,78,0.17801,0.20419
DW $D$ asc,79,0.17829,0.20479
DW $D$ asc,80,0.17872,0.20563
DW $D$ asc,81,0.17874,0.20673
DW $D$ asc,82,0.18057,0.2077
DW $D$ asc,83,0.18143,0.20856
DW $D$ asc,84,0.1818,0.20943
DW $D$ asc,85,0.18193,0.20972
DW $D$ asc,86,0.18337,0.20946
DW $D$ asc,87,0.18423,0.20978
DW $D$ asc,88,0.18492,0.21077
DW $D$ asc,89,0.18569,0.21079
DW $D$ asc,90,0.18514,0.21207
DW $D$ asc,91,0.18545,0.21257
DW $D$ asc,92,0.18621,0.21191
