condition,ews,variant,mean_tau,std_tau,frac_good_gt0.5,n
DW $D$ asc,var,raw,0.886,0.07,1.0,40
DW $D$ asc,var,delta,0.885,0.076,1.0,40
DW $D$ asc,var,rel,0.886,0.073,1.0,40
DW $D$ asc,CV,raw,0.859,0.143,0.98,40
DW $D$ asc,CV,delta,-0.588,0.125,0.0,40
DW $D$ asc,CV,rel,0.861,0.134,0.98,40
DW $D$ asc,g1,raw,0.738,0.254,0.9,40
DW $D$ asc,g1,delta,0.731,0.255,0.92,40
DW $D$ asc,g1,rel,0.729,0.259,0.92,40
DW $D$ asc,g2,raw,0.676,0.275,0.82,40
DW $D$ asc,g2,delta,0.656,0.279,0.82,40
DW $D$ asc,g2,rel,0.651,0.284,0.82,40
DW $D$ asc,IM,raw,0.498,0.447,0.7,40
DW $D$ asc,IM,delta,0.502,0.446,0.7,40
DW $D$ asc,IM,rel,0.502,0.445,0.7,40
DW $D$ desc,var,raw,-0.94,0.275,0.02,40
DW $D$ desc,var,delta,0.98,0.034,1.0,40
DW $D$ desc,var,rel,0.946,0.046,1.0,40
DW $D$ desc,CV,raw,-0.891,0.286,0.02,40
DW $D$ desc,CV,delta,0.774,0.09,1.0,40
DW $D$ desc,CV,rel,0.957,0.036,1.0,40
DW $D$ desc,g1,raw,0.73,0.261,0.85,40
DW $D$ desc,g1,delta,0.702,0.334,0.82,40
DW $D$ desc,g1,rel,0.604,0.31,0.75,40
DW $D$ desc,g2,raw,-0.355,0.631,0.15,40
DW $D$ desc,g2,delta,0.407,0.602,0.6,40
DW $D$ desc,g2,rel,0.105,0.549,0.35,40
DW $D$ desc,IM,raw,-0.524,0.451,0.02,40
DW $D$ desc,IM,delta,0.523,0.365,0.6,40
DW $D$ desc,IM,rel,0.604,0.318,0.68,40
DW $u$ asc,var,raw,0.685,0.174,0.88,40
DW $u$ asc,var,delta,0.608,0.187,0.72,40
DW $u$ asc,var,rel,0.574,0.188,0.65,40
DW $u$ asc,CV,raw,0.528,0.274,0.65,40
DW $u$ asc,CV,delta,-0.705,0.122,0.0,40
DW $u$ asc,CV,rel,0.363,0.212,0.25,40
DW $u$ asc,g1,raw,0.398,0.182,0.35,40
DW $u$ asc,g1,delta,0.366,0.195,0.3,40
DW $u$ asc,g1,rel,0.235,0.145,0.02,40
DW $u$ asc,g2,raw,0.352,0.175,0.22,40
DW $u$ asc,g2,delta,0.307,0.196,0.22,40
DW $u$ asc,g2,rel,0.167,0.147,0.0,40
DW $u$ asc,IM,raw,0.103,0.25,0.05,40
DW $u$ asc,IM,delta,0.212,0.261,0.12,40
DW $u$ asc,IM,rel,0.156,0.209,0.05,40
DW $u$ desc,var,raw,0.934,0.056,1.0,40
DW $u$ desc,var,delta,0.912,0.061,1.0,40
DW $u$ desc,var,rel,0.919,0.061,1.0,40
DW $u$ desc,CV,raw,0.946,0.047,1.0,40
DW $u$ desc,CV,delta,0.547,0.16,0.68,40
DW $u$ desc,CV,rel,0.927,0.052,1.0,40
DW $u$ desc,g1,raw,0.701,0.256,0.82,40
DW $u$ desc,g1,delta,-0.132,0.498,0.12,40
DW $u$ desc,g1,rel,-0.161,0.498,0.12,40
DW $u$ desc,g2,raw,-0.554,0.393,0.0,40
DW $u$ desc,g2,delta,0.087,0.355,0.15,40
DW $u$ desc,g2,rel,0.097,0.369,0.18,40
DW $u$ desc,IM,raw,0.217,0.491,0.35,40
DW $u$ desc,IM,delta,0.655,0.263,0.78,40
DW $u$ desc,IM,rel,0.658,0.262,0.8,40
SIS $D$ asc,var,raw,0.598,0.112,0.82,40
SIS $D$ asc,var,delta,0.648,0.092,0.95,40
SIS $D$ asc,var,rel,0.502,0.142,0.55,40
SIS $D$ asc,CV,raw,-0.236,0.242,0.0,40
SIS $D$ asc,CV,delta,-0.309,0.195,0.0,40
SIS $D$ asc,CV,rel,0.067,0.176,0.0,40
SIS $D$ asc,g1,raw,0.018,0.276,0.02,40
SIS $D$ asc,g1,delta,0.143,0.236,0.02,40
SIS $D$ asc,g1,rel,0.168,0.125,0.0,40
SIS $D$ asc,g2,raw,0.091,0.25,0.05,40
SIS $D$ asc,g2,delta,0.107,0.231,0.02,40
SIS $D$ asc,g2,rel,0.158,0.117,0.0,40
SIS $D$ asc,IM,raw,0.435,0.187,0.4,40
SIS $D$ asc,IM,delta,0.403,0.194,0.35,40
SIS $D$ asc,IM,rel,0.28,0.206,0.18,40
SIS $D$ desc,var,raw,0.61,0.316,0.68,40
SIS $D$ desc,var,delta,0.974,0.049,1.0,40
SIS $D$ desc,var,rel,0.929,0.069,1.0,40
SIS $D$ desc,CV,raw,0.998,0.013,1.0,40
SIS $D$ desc,CV,delta,0.797,0.158,0.95,40
SIS $D$ desc,CV,rel,0.995,0.013,1.0,40
SIS $D$ desc,g1,raw,-0.946,0.211,0.0,40
SIS $D$ desc,g1,delta,-0.157,0.663,0.25,40
SIS $D$ desc,g1,rel,-0.757,0.225,0.0,40
SIS $D$ desc,g2,raw,-0.035,0.876,0.38,40
SIS $D$ desc,g2,delta,0.252,0.625,0.48,40
SIS $D$ desc,g2,rel,-0.539,0.605,0.12,40
SIS $D$ desc,IM,raw,0.93,0.307,0.95,40
SIS $D$ desc,IM,delta,0.308,0.56,0.45,40
SIS $D$ desc,IM,rel,0.917,0.277,0.95,40
MUT $D$ desc,var,raw,-0.939,0.287,0.02,40
MUT $D$ desc,var,delta,0.988,0.03,1.0,40
MUT $D$ desc,var,rel,0.971,0.078,1.0,40
MUT $D$ desc,CV,raw,-0.524,0.596,0.1,40
MUT $D$ desc,CV,delta,0.804,0.148,0.98,40
MUT $D$ desc,CV,rel,0.98,0.053,1.0,40
MUT $D$ desc,g1,raw,0.943,0.195,0.95,40
MUT $D$ desc,g1,delta,0.86,0.28,0.95,40
MUT $D$ desc,g1,rel,0.739,0.372,0.78,40
MUT $D$ desc,g2,raw,-0.274,0.939,0.35,40
MUT $D$ desc,g2,delta,0.472,0.756,0.7,40
MUT $D$ desc,g2,rel,0.478,0.59,0.68,40
MUT $D$ desc,IM,raw,-0.465,0.78,0.18,40
MUT $D$ desc,IM,delta,-0.136,0.834,0.38,40
MUT $D$ desc,IM,rel,-0.427,0.568,0.08,40
MUT $u$ desc,var,raw,0.996,0.025,1.0,40
MUT $u$ desc,var,delta,0.993,0.028,1.0,40
MUT $u$ desc,var,rel,0.993,0.028,1.0,40
MUT $u$ desc,CV,raw,0.997,0.019,1.0,40
MUT $u$ desc,CV,delta,-0.898,0.271,0.02,40
MUT $u$ desc,CV,rel,0.994,0.02,1.0,40
MUT $u$ desc,g1,raw,0.965,0.155,0.98,40
MUT $u$ desc,g1,delta,0.721,0.182,0.92,40
MUT $u$ desc,g1,rel,0.747,0.172,0.92,40
MUT $u$ desc,g2,raw,-0.834,0.442,0.05,40
MUT $u$ desc,g2,delta,-0.435,0.58,0.15,40
MUT $u$ desc,g2,rel,-0.459,0.597,0.15,40
MUT $u$ desc,IM,raw,0.627,0.662,0.8,40
MUT $u$ desc,IM,delta,0.161,0.655,0.4,40
MUT $u$ desc,IM,rel,0.189,0.668,0.42,40
GR $D$ desc,var,raw,-0.971,0.175,0.0,40
GR $D$ desc,var,delta,0.976,0.125,0.98,40
GR $D$ desc,var,rel,0.919,0.203,0.95,40
GR $D$ desc,CV,raw,-0.12,0.924,0.4,40
GR $D$ desc,CV,delta,0.518,0.589,0.75,40
GR $D$ desc,CV,rel,0.993,0.023,1.0,40
