condition,ews,variant,mean_tau,std_tau,frac_good_gt0.5,n
DW $D$ asc,var,raw,0.885,0.075,1.0,40
DW $D$ asc,var,delta,0.88,0.083,1.0,40
DW $D$ asc,var,rel,0.88,0.079,1.0,40
DW $D$ asc,CV,raw,0.865,0.131,0.98,40
DW $D$ asc,CV,delta,-0.308,0.298,0.0,40
DW $D$ asc,CV,rel,0.858,0.14,0.98,40
DW $D$ asc,g1,raw,0.681,0.225,0.9,40
DW $D$ asc,g1,delta,0.696,0.219,0.9,40
DW $D$ asc,g1,rel,0.693,0.222,0.9,40
DW $D$ asc,g2,raw,0.633,0.222,0.8,40
DW $D$ asc,g2,delta,0.639,0.234,0.8,40
DW $D$ asc,g2,rel,0.637,0.235,0.8,40
DW $D$ asc,IM,raw,0.361,0.352,0.45,40
DW $D$ asc,IM,delta,0.378,0.364,0.42,40
DW $D$ asc,IM,rel,0.38,0.364,0.42,40
DW $D$ desc,var,raw,-0.91,0.286,0.02,40
DW $D$ desc,var,delta,0.97,0.041,1.0,40
DW $D$ desc,var,rel,0.897,0.084,1.0,40
DW $D$ desc,CV,raw,-0.761,0.349,0.02,40
DW $D$ desc,CV,delta,0.793,0.124,1.0,40
DW $D$ desc,CV,rel,0.924,0.065,1.0,40
DW $D$ desc,g1,raw,0.778,0.242,0.92,40
DW $D$ desc,g1,delta,0.693,0.228,0.88,40
DW $D$ desc,g1,rel,0.644,0.23,0.75,40
DW $D$ desc,g2,raw,-0.378,0.653,0.18,40
DW $D$ desc,g2,delta,0.423,0.508,0.65,40
DW $D$ desc,g2,rel,0.305,0.502,0.52,40
DW $D$ desc,IM,raw,-0.38,0.585,0.15,40
DW $D$ desc,IM,delta,0.118,0.538,0.25,40
DW $D$ desc,IM,rel,0.171,0.488,0.3,40
DW $u$ asc,var,raw,0.597,0.221,0.7,40
DW $u$ asc,var,delta,0.525,0.25,0.57,40
DW $u$ asc,var,rel,0.472,0.251,0.57,40
DW $u$ asc,CV,raw,0.481,0.277,0.62,40
DW $u$ asc,CV,delta,-0.65,0.186,0.0,40
DW $u$ asc,CV,rel,0.329,0.276,0.25,40
DW $u$ asc,g1,raw,0.322,0.194,0.15,40
DW $u$ asc,g1,delta,0.381,0.182,0.22,40
DW $u$ asc,g1,rel,0.28,0.172,0.15,40
DW $u$ asc,g2,raw,0.274,0.208,0.12,40
DW $u$ asc,g2,delta,0.33,0.204,0.18,40
DW $u$ asc,g2,rel,0.218,0.2,0.08,40
DW $u$ asc,IM,raw,0.075,0.217,0.02,40
DW $u$ asc,IM,delta,0.166,0.231,0.08,40
DW $u$ asc,IM,rel,0.121,0.212,0.02,40
DW $u$ desc,var,raw,0.93,0.061,1.0,40
DW $u$ desc,var,delta,0.918,0.07,1.0,40
DW $u$ desc,var,rel,0.924,0.067,1.0,40
DW $u$ desc,CV,raw,0.941,0.053,1.0,40
DW $u$ desc,CV,delta,-0.13,0.404,0.12,40
DW $u$ desc,CV,rel,0.93,0.061,1.0,40
DW $u$ desc,g1,raw,0.72,0.242,0.82,40
DW $u$ desc,g1,delta,0.045,0.412,0.15,40
DW $u$ desc,g1,rel,0.052,0.401,0.15,40
DW $u$ desc,g2,raw,-0.494,0.471,0.05,40
DW $u$ desc,g2,delta,0.084,0.28,0.05,40
DW $u$ desc,g2,rel,0.075,0.279,0.05,40
DW $u$ desc,IM,raw,0.171,0.502,0.28,40
DW $u$ desc,IM,delta,0.532,0.243,0.6,40
DW $u$ desc,IM,rel,0.502,0.26,0.57,40
SIS $D$ asc,var,raw,0.607,0.119,0.85,40
SIS $D$ asc,var,delta,0.583,0.117,0.75,40
