cond,net,N,Lprime,tau_avg10
DW $D$ asc,SITC,774,2,-0.02531
DW $D$ asc,SITC,774,3,0.00249
DW $D$ asc,SITC,774,4,-0.0304
DW $D$ asc,SITC,774,5,-0.01514
DW $D$ asc,SITC,774,6,-0.02
DW $D$ asc,SITC,774,7,-0.03661
DW $D$ asc,SITC,774,8,-0.01831
DW $D$ asc,SITC,774,9,-0.02791
DW $D$ asc,SITC,774,10,-0.01785
DW $D$ asc,SITC,774,11,-0.03333
DW $D$ asc,SITC,774,12,-0.03164
DW $D$ asc,SITC,774,13,-0.03175
DW $D$ asc,SITC,774,14,-0.02169
DW $D$ asc,SITC,774,15,-0.02452
DW $D$ asc,SITC,774,16,-0.02023
DW $D$ asc,SITC,774,17,-0.02576
DW $D$ asc,SITC,774,18,-0.04
DW $D$ asc,SITC,774,19,-0.04192
DW $D$ asc,SITC,774,20,-0.04588
DW $D$ asc,SITC,774,21,-0.04576
DW $D$ asc,SITC,774,22,-0.04712
DW $D$ asc,SITC,774,23,-0.04373
DW $D$ asc,SITC,774,24,-0.03153
DW $D$ asc,SITC,774,25,-0.02927
DW $D$ asc,SITC,774,26,-0.01898
DW $D$ asc,SITC,774,27,-0.01412
DW $D$ asc,SITC,774,28,-0.0191
DW $D$ asc,SITC,774,29,-0.01638
DW $D$ asc,SITC,774,30,-0.00972
DW $D$ asc,SITC,774,31,-0.0026
DW $D$ asc,SITC,774,32,-0.00576
DW $D$ asc,SITC,774,33,-0.00475
DW $D$ asc,SITC,774,34,0.00079
DW $D$ asc,SITC,774,35,-0.0
DW $D$ asc,SITC,774,36,0.00497
DW $D$ asc,SITC,774,37,0.00881
DW $D$ asc,SITC,774,38,0.01164
DW $D$ asc,SITC,774,39,0.0122
DW $D$ asc,SITC,774,40,0.0104
DW $D$ asc,SITC,774,41,0.01073
DW $D$ asc,SITC,774,42,0.00734
DW $D$ asc,SITC,774,43,0.01503
DW $D$ asc,SITC,774,44,0.01186
DW $D$ asc,SITC,774,45,0.01503
DW $D$ asc,SITC,774,46,0.01356
DW $D$ asc,SITC,774,47,0.0113
DW $D$ asc,SITC,774,48,0.01537
DW $D$ asc,SITC,774,49,0.01198
DW $D$ asc,SITC,774,50,0.01198
DW $D$ asc,SITC,774,51,0.00904
DW $D$ asc,SITC,774,52,0.01944
DW $D$ asc,SITC,774,53,0.02305
DW $D$ asc,SITC,774,54,0.01853
DW $D$ asc,SITC,774,55,0.0191
DW $D$ asc,SITC,774,56,0.03107
DW $D$ asc,SITC,774,57,0.03311
DW $D$ asc,SITC,774,58,0.04079
DW $D$ asc,SITC,774,59,0.0426
DW $D$ asc,SITC,774,60,0.04395
DW $D$ asc,SITC,774,61,0.04113
DW $D$ asc,SITC,774,62,0.03785
DW $D$ asc,SITC,774,63,0.03797
DW $D$ asc,SITC,774,64,0.03548
DW $D$ asc,SITC,774,65,0.03322
DW $D$ asc,SITC,774,66,0.03605
DW $D$ asc,SITC,774,67,0.03525
DW $D$ asc,SITC,774,68,0.02644
DW $D$ asc,SITC,774,69,0.03367
DW $D$ asc,SITC,774,70,0.03446
DW $D$ asc,SITC,774,71,0.0452
DW $D$ asc,SITC,774,72,0.04712
DW $D$ asc,SITC,774,73,0.04599
DW $D$ asc,SITC,774,74,0.04373
DW $D$ asc,SITC,774,75,0.04169
DW $D$ asc,SITC,774,76,0.03876
DW $D$ asc,SITC,774,77,0.0365
DW $D$ asc,SITC,774,78,0.03774
DW $D$ asc,SITC,774,79,0.03684
DW $D$ asc,SITC,774,80,0.03785
DW $D$ asc,SITC,774,81,0.04294
DW $D$ asc,SITC,774,82,0.05107
DW $D$ asc,SITC,774,83,0.0565
DW $D$ asc,SITC,774,84,0.05333
DW $D$ asc,SITC,774,85,0.05254
DW $D$ asc,SITC,774,86,0.05627
DW $D$ asc,SITC,774,87,0.06542
DW $D$ asc,SITC,774,88,0.06339
DW $D$ asc,SITC,774,89,0.06068
DW $D$ asc,SITC,774,90,0.06023
DW $D$ asc,SITC,774,91,0.06362
DW $D$ asc,SITC,774,92,0.0661
DW $D$ asc,SITC,774,93,0.0661
DW $D$ asc,SITC,774,94,0.06893
