method,fraction,condition,ews,mean_tau,mean_nonseq,mean_seq,mean_lead,n_nets
random,0.05,DW $D$ asc,V,0.4635,0.51,0.51,0.287,40
random,0.05,DW $D$ asc,CV,0.4456,0.37,0.295,0.2039,40
random,0.05,DW $D$ asc,Vdelta,0.4518,0.505,0.48,0.3311,40
random,0.05,DW $D$ asc,Vrel,0.4818,0.505,0.515,0.2834,40
random,0.05,DW $D$ asc,CVrel,0.4516,0.35,0.26,0.2079,40
random,0.1,DW $D$ asc,V,0.5863,0.675,0.66,0.317,40
random,0.1,DW $D$ asc,CV,0.5449,0.535,0.41,0.25,40
random,0.1,DW $D$ asc,Vdelta,0.6006,0.63,0.63,0.3119,40
random,0.1,DW $D$ asc,Vrel,0.5887,0.64,0.635,0.2998,40
random,0.1,DW $D$ asc,CVrel,0.5608,0.485,0.375,0.2412,40
random,0.2,DW $D$ asc,V,0.7073,0.82,0.805,0.3465,40
random,0.2,DW $D$ asc,CV,0.6722,0.72,0.605,0.3014,40
random,0.2,DW $D$ asc,Vdelta,0.7255,0.805,0.785,0.3221,40
random,0.2,DW $D$ asc,Vrel,0.738,0.805,0.795,0.3182,40
random,0.2,DW $D$ asc,CVrel,0.6807,0.635,0.535,0.2275,40
random,0.3,DW $D$ asc,V,0.754,0.9,0.865,0.388,40
random,0.3,DW $D$ asc,CV,0.7417,0.81,0.76,0.3132,40
random,0.3,DW $D$ asc,Vdelta,0.7758,0.82,0.8,0.341,40
random,0.3,DW $D$ asc,Vrel,0.7695,0.825,0.785,0.3393,40
random,0.3,DW $D$ asc,CVrel,0.7406,0.73,0.695,0.2984,40
random,0.4,DW $D$ asc,V,0.795,0.93,0.91,0.3965,40
random,0.4,DW $D$ asc,CV,0.7671,0.88,0.84,0.3207,40
random,0.4,DW $D$ asc,Vdelta,0.8124,0.9,0.865,0.3721,40
random,0.4,DW $D$ asc,Vrel,0.813,0.885,0.885,0.3779,40
random,0.4,DW $D$ asc,CVrel,0.7724,0.81,0.78,0.284,40
random,0.5,DW $D$ asc,V,0.8282,0.955,0.925,0.4243,40
random,0.5,DW $D$ asc,CV,0.7933,0.915,0.895,0.3374,40
random,0.5,DW $D$ asc,Vdelta,0.8299,0.89,0.87,0.3683,40
random,0.5,DW $D$ asc,Vrel,0.8336,0.9,0.89,0.3748,40
random,0.5,DW $D$ asc,CVrel,0.8004,0.83,0.825,0.2629,40
random,0.6,DW $D$ asc,V,0.8443,0.99,0.97,0.4526,40
random,0.6,DW $D$ asc,CV,0.8143,0.935,0.925,0.3839,40
random,0.6,DW $D$ asc,Vdelta,0.845,0.91,0.885,0.4012,40
random,0.6,DW $D$ asc,Vrel,0.8419,0.91,0.89,0.3833,40
random,0.6,DW $D$ asc,CVrel,0.8142,0.855,0.82,0.276,40
random,0.7,DW $D$ asc,V,0.8573,0.975,0.965,0.4458,40
random,0.7,DW $D$ asc,CV,0.8328,0.955,0.935,0.3849,40
random,0.7,DW $D$ asc,Vdelta,0.8577,0.915,0.91,0.3927,40
