"dynamics","cparam","direction","network","network_name","N","rng.far","rng.near","deltaT","D","u","home_len","home_boundary"
"SIS","D","down","SITC","Product",774,1.0,0.0,0.01,"NA",0.0,57,0.434343
"SIS","D","down","adjnoun","Word",112,1.0,0.0,0.01,"NA",0.0,90,0.10101
"SIS","D","down","barabasialbert","BA",100,1.0,0.0,0.01,"NA",0.0,85,0.151515
"SIS","D","down","canton","Canton",109,1.0,0.0,0.01,"NA",0.0,93,0.070707
"SIS","D","down","catlins","Catlins",59,1.0,0.0,0.01,"NA",0.0,77,0.232323
"SIS","D","down","chesapeake","Chesapeake",39,1.0,0.0,0.01,"NA",0.0,91,0.090909
"SIS","D","down","contigusa","Geographic",49,1.0,0.0,0.01,"NA",0.0,76,0.242424
"SIS","D","down","dolphin","Dolphin",62,1.0,0.0,0.01,"NA",0.0,82,0.181818
"SIS","D","down","drug","Drug interaction",75,1.0,0.0,0.01,"NA",0.0,85,0.151515
"SIS","D","down","ecoli","E. coli",328,1.0,0.0,0.01,"NA",0.0,71,0.292929
"SIS","D","down","email_company","Email",167,1.0,0.0,0.01,"NA",0.0,91,0.090909
"SIS","D","down","erdos","Erdős collaboration",6927,0.856791,0.0,0.001,"NA",0.0,89,0.095199
"SIS","D","down","erdosrenyi","ER",100,1.0,0.0,0.01,"NA",0.0,82,0.181818
"SIS","D","down","flamingo","Flamingo software",228,1.0,0.0,0.01,"NA",0.0,76,0.242424
"SIS","D","down","football","Football",115,1.0,0.0,0.01,"NA",0.0,90,0.10101
"SIS","D","down","gap_junction_herm","C. elegans neuronal",460,1.0,0.4,0.01,"NA",0.0,81,0.515152
"SIS","D","down","genefusion","Gene fusion",110,1.0,0.0,0.01,"NA",0.0,68,0.323232
"SIS","D","down","gkk","GKK",96,1.0,0.0,0.01,"NA",0.0,88,0.121212
"SIS","D","down","hk100","HK",100,1.0,0.0,0.01,"NA",0.0,84,0.161616
"SIS","D","down","iceland","Contact",75,1.0,0.0,0.01,"NA",0.0,79,0.212121
"SIS","D","down","jazz","Jazz player",198,1.0,0.0,0.01,"NA",0.0,90,0.10101
"SIS","D","down","jung_c","JUNG software",879,1.0,0.0,0.01,"NA",0.0,81,0.191919
"SIS","D","down","lattice","Lattice",100,1.0,0.0,0.01,"NA",0.0,76,0.242424
"SIS","D","down","london_transport","Transportation",369,1.0,0.2,0.01,"NA",0.0,63,0.49899
"SIS","D","down","metabolic","C. elegans metabolic",453,1.0,0.0,0.005,"NA",0.0,85,0.151515
"SIS","D","down","montreal","Montreal",29,1.0,0.0,0.01,"NA",0.0,86,0.141414
"SIS","D","down","netsci","Coauthorship",379,1.0,0.0,0.01,"NA",0.0,77,0.232323
"SIS","D","down","physician_trust","Physician",117,1.0,0.0,0.01,"NA",0.0,89,0.111111
"SIS","D","down","powergrid","US power grid",4941,1.00086,0.318705,0.001,"NA",0.0,84,0.428952
"SIS","D","down","protein","Protein",161,1.0,0.0,0.01,"NA",0.0,72,0.282828
"SIS","D","down","proximity","Proximity",410,1.0,0.0,0.01,"NA",0.0,89,0.111111
"SIS","D","down","routeviews","Route views",6474,1.001196,0.05211,0.001,"NA",0.0,84,0.205498
"SIS","D","down","smallworld","WS",100,1.0,0.0,0.01,"NA",0.0,88,0.121212
"SIS","D","down","students","Student",141,1.0,0.0,0.01,"NA",0.0,67,0.333333
"SIS","D","down","train_terrorists","Terrorist",64,1.0,0.0,0.01,"NA",0.0,87,0.131313
"SIS","D","down","ug_village","Village",187,1.0,0.0,0.01,"NA",0.0,80,0.20202
"SIS","D","down","urv_email","U. Rovira i Virgili",1133,0.969149,0.0,0.001,"NA",0.0,85,0.146841
"SIS","D","down","wiki_ht","Wikipedia user",404,1.0,0.0,0.01,"NA",0.0,77,0.232323
"SIS","D","down","windsurfers","Windsurfer",43,1.0,0.0,0.01,"NA",0.0,94,0.060606
"SIS","D","down","yeast","S. cerevisiae",664,1.0,0.0,0.01,"NA",0.0,69,0.313131
"SIS","D","up","SITC","Product",774,0.0,0.1,0.01,"NA",0.0,48,0.047475
"SIS","D","up","adjnoun","Word",112,0.0,0.2,0.01,"NA",0.0,37,0.072727
"SIS","D","up","barabasialbert","BA",100,0.0,0.3,0.01,"NA",0.0,39,0.115152
"SIS","D","up","canton","Canton",109,0.0,0.1,0.01,"NA",0.0,51,0.050505
"SIS","D","up","catlins","Catlins",59,0.0,0.3,0.01,"NA",0.0,42,0.124242
"SIS","D","up","chesapeake","Chesapeake",39,0.0,0.2,0.01,"NA",0.0,43,0.084848
"SIS","D","up","contigusa","Geographic",49,0.0,0.3,0.01,"NA",0.0,62,0.184848
"SIS","D","up","dolphin","Dolphin",62,0.0,0.3,0.01,"NA",0.0,44,0.130303
"SIS","D","up","drug","Drug interaction",75,0.0,0.3,0.01,"NA",0.0,39,0.115152
"SIS","D","up","ecoli","E. coli",328,0.0,0.2,0.01,"NA",0.0,39,0.076768
"SIS","D","up","email_company","Email",167,0.0,0.025,0.01,"NA",0.0,65,0.016162
"SIS","D","up","erdos","Erdős collaboration",6927,0.0,0.016556,0.001,"NA",0.0,79,0.013044
"SIS","D","up","erdosrenyi","ER",100,0.0,0.2,0.01,"NA",0.0,82,0.163636
"SIS","D","up","flamingo","Flamingo software",228,0.0,0.2,0.01,"NA",0.0,43,0.084848
"SIS","D","up","football","Football",115,0.0,0.2,0.01,"NA",0.0,47,0.092929
